"TimeStamp","FrameCounter","AccX","AccY","AccZ","GyrX","GyrY","GyrZ"
"0.01","1","0.007","0.01","-0.004","0.0","0.0","0.0572958"
"0.02","2","0.007","0.002","-0.006","0.0","-0.1145916","0.0"
"0.03","3","0.006","0.006","-0.004","0.0","-0.1145916","0.0"
"0.04","4","0.006","0.008","-0.002","0.0","0.0","0.0572958"
"0.05","5","0.005","0.001","-0.003","0.0","0.0","0.0572958"
"0.06","6","0.006","0.008","-0.004","0.0","0.0","0.0572958"
"0.07","7","0.006","0.003","-0.003","0.0","0.0572958","0.0"
"0.08","8","0.006","0.006","-0.004","0.0","0.0572958","0.0"
"0.09","9","0.005","0.006","-0.006","0.0","-0.0572958","0.0"
"0.1","10","0.005","0.004","-0.007","0.0","-0.0572958","0.0"
"0.11","11","0.005","0.007","-0.006","0.0572958","0.0","0.0"
"0.12","12","0.005","0.004","-0.004","-0.0572958","0.0572958","0.0"
"0.13","13","0.004","0.007","-0.004","0.0","0.0","0.0"
"0.14","14","0.003","0.006","-0.003","0.0","0.0","0.1145916"
"0.15","15","0.004","0.005","-0.003","-0.0572958","0.0","0.0"
"0.16","16","0.005","0.005","-0.005","0.0","0.0572958","0.1145916"
"0.17","17","0.005","0.005","-0.005","0.0","0.0572958","0.0"
"0.18","18","0.005","0.005","-0.005","0.0","0.0","0.0"
"0.19","19","0.006","0.005","-0.004","0.0","0.0","0.0"
"0.2","20","0.004","0.006","-0.003","0.0","0.0","0.0572958"
"0.21","21","0.004","0.004","-0.003","0.0","0.0572958","0.0572958"
"0.22","22","0.005","0.006","-0.003","0.0","0.0","0.0"
"0.23","23","0.005","0.006","-0.003","0.0","0.0","0.0"
"0.24","24","0.005","0.006","-0.004","0.0572958","0.0","0.1145916"
"0.25","25","0.004","0.006","-0.003","0.0","0.0572958","0.0572958"
"0.26","26","0.004","0.007","-0.003","0.0","0.0","0.0572958"
"0.27","27","0.005","0.005","-0.004","0.0","-0.1145916","0.0"
"0.28","28","0.004","0.005","-0.003","0.0","0.0","0.0"
"0.29","29","0.005","0.005","-0.005","0.0","0.1145916","0.0"
"0.3","30","0.004","0.005","-0.003","0.0","0.0","0.0"
"0.31","31","0.004","0.005","-0.003","0.0","0.0","0.0"
"0.32","32","0.004","0.006","-0.004","0.0","0.0","0.0"
"0.33","33","0.006","0.006","-0.003","0.0","0.0572958","0.0"
"0.34","34","0.005","0.006","-0.004","-0.0572958","0.0572958","0.0"
"0.35000000000000003","35","0.004","0.006","-0.003","0.0","0.0","0.0"
"0.36","36","0.003","0.005","-0.002","0.0572958","0.0","0.0572958"
"0.37","37","0.004","0.005","-0.003","0.0","0.0","0.0572958"
"0.38","38","0.004","0.006","-0.004","0.0","0.0","0.0572958"
"0.39","39","0.006","0.005","-0.003","0.0","0.0","0.0"
"0.4","40","0.005","0.006","-0.003","0.0","0.0","0.0"
"0.41000000000000003","41","0.004","0.005","-0.003","-0.0572958","0.0572958","0.0"
"0.42","42","0.003","0.007","-0.003","0.0","0.0","0.0"
"0.43","43","0.003","0.005","-0.002","0.0","0.0","0.0"
"0.44","44","0.004","0.005","-0.002","0.0572958","-0.0572958","0.0"
"0.45","45","0.005","0.004","-0.004","0.0","-0.1145916","0.0572958"
"0.46","46","0.005","0.005","-0.005","0.0","0.0","0.0"
"0.47000000000000003","47","0.006","0.006","-0.004","0.0","-0.0572958","0.0"
"0.48","48","0.004","0.006","-0.003","0.0572958","0.0","0.0"
"0.49","49","0.003","0.005","-0.002","-0.0572958","0.0","0.0"
"0.5","50","0.002","0.006","-0.002","0.0572958","-0.0572958","0.0"
"0.51","51","0.004","0.005","-0.002","0.0","0.0","0.0572958"
"0.52","52","0.004","0.006","-0.003","0.0","0.0","0.0"
"0.53","53","0.004","0.005","-0.003","0.0","0.0","0.0572958"
"0.54","54","0.004","0.006","-0.004","0.0","0.0","0.0572958"
"0.55","55","0.004","0.005","-0.004","0.0","0.0","0.0"
"0.56","56","0.004","0.006","-0.004","-0.0572958","0.0","0.0"
